Longitude,Latitude,date,tmin,tmax,prec,rhmax,rhmin,wind,rad
12.44986,45.64986,1/1/2004,3.88,10,0,78,53,4.606481481,4.954
12.44986,45.64986,1/2/2004,2.64,7.01,0,63,49,5.162037037,3.285
12.44986,45.64986,1/3/2004,-0.71,5.55,0,49,33,6.516203704,5.702
12.44986,45.64986,1/4/2004,-4.57,3.65,0,55,32,6.203703704,6.393
12.44986,45.64986,1/5/2004,-5.42,3.37,0,62,28,4.050925926,6.082
12.44986,45.64986,1/6/2004,-3.16,3.21,0,60,39,7.1875,5.486
12.44986,45.64986,1/7/2004,-0.47,5.99,0,77,34,3.611111111,3.068
12.44986,45.64986,1/8/2004,1.09,6.5,0,87,59,3.449074074,2.369
12.44986,45.64986,1/9/2004,1.79,6.06,1.7,99,90,1.840277778,0.983
12.44986,45.64986,1/10/2004,-1.41,5.89,0,99,73,2.418981481,5.549
12.44986,45.64986,1/11/2004,-2.38,4.82,0,87,39,3.611111111,6.138
12.44986,45.64986,1/12/2004,0.1,7.46,0,99,64,2.546296296,3.171
12.44986,45.64986,1/13/2004,0.21,7.87,0,99,81,2.222222222,1.764
12.44986,45.64986,1/14/2004,-0.17,9.13,0,98,70,2.118055556,4.678
12.44986,45.64986,1/15/2004,3.7,10.51,0,86,64,3.37962963,2.699
12.44986,45.64986,1/16/2004,-1.74,7.32,0,69,40,4.351851852,4.639
12.44986,45.64986,1/17/2004,1.46,6.95,7.4,99,74,4.247685185,0.317
12.44986,45.64986,1/18/2004,1.55,7.03,10.8,87,59,7.395833333,0.882
12.44986,45.64986,1/19/2004,2.97,10.05,0,76,39,4.340277778,5.672
12.44986,45.64986,1/20/2004,-0.66,7.31,0,84,61,3.37962963,3.697
12.44986,45.64986,1/21/2004,-0.9,7.4,0,71,33,4.0625,6.722
12.44986,45.64986,1/22/2004,-1.6,5.38,0,68,24,4.039351852,7.536
12.44986,45.64986,1/23/2004,-1.5,2.36,0,61,30,5.092592593,6.93
12.44986,45.64986,1/24/2004,-5.77,4.34,0,66,29,3.449074074,7.961
12.44986,45.64986,1/25/2004,-2.6,3.05,0,78,39,2.083333333,4.128
12.44986,45.64986,1/26/2004,-4.31,2.94,1.1,88,61,3.06712963,2.559
12.44986,45.64986,1/27/2004,-1.3,5.97,3.3,99,73,2.118055556,3.345
12.44986,45.64986,1/28/2004,-1.13,8.41,0,99,49,3.368055556,6.04
12.44986,45.64986,1/29/2004,-2.91,5.98,0,79,57,3.4375,4.805
12.44986,45.64986,1/30/2004,-3.99,7.76,0,57,10,4.247685185,9.065
12.44986,45.64986,1/31/2004,-1.99,7.05,0,70,33,3.466666667,7.77
12.44986,45.64986,2/1/2004,0.69,8.32,0,89,53,2.12962963,2.881
12.44986,45.64986,2/2/2004,-1.63,9.06,0,95,68,2.118055556,4.434
12.44986,45.64986,2/3/2004,0.65,9.53,0,97,63,2.395833333,6.151
12.44986,45.64986,2/4/2004,0.53,10.04,0,99,60,1.666666667,6.32
12.44986,45.64986,2/5/2004,-1.99,7.34,0,99,66,1.921296296,9.185
12.44986,45.64986,2/6/2004,-0.49,6.69,0,99,78,1.493055556,8.334
12.44986,45.64986,2/7/2004,1.1,7.56,0,99,96,1.921296296,0.401
12.44986,45.64986,2/8/2004,3.13,8.39,0,99,93,2.87037037,1.658
12.44986,45.64986,2/9/2004,-2.62,11.75,0,98,10,4.247685185,10.426
12.44986,45.64986,2/10/2004,-1.39,10.49,0,62,10,3.599537037,10.12
12.44986,45.64986,2/11/2004,0.49,10.55,0,84,50,2.974537037,8.612
12.44986,45.64986,2/12/2004,-0.49,5.78,0,56,39,4.722222222,3.767
12.44986,45.64986,2/13/2004,-0.45,5.06,0,79,47,1.469907407,2.332
12.44986,45.64986,2/14/2004,-1.61,7.74,0,84,40,3.06712963,8.384
12.44986,45.64986,2/15/2004,-1.3,8.79,0,82,37,2.962962963,10.081
12.44986,45.64986,2/16/2004,-1.1,10.83,0,79,42,3.333333333,10.139
12.44986,45.64986,2/17/2004,0.95,11.13,0,92,46,3.06712963,9.744
12.44986,45.64986,2/18/2004,-1.54,7.28,0,93,74,2.789351852,6.205
12.44986,45.64986,2/19/2004,0.98,3.72,13.2,79,45,10.43981481,1.087
12.44986,45.64986,2/20/2004,1.39,6.86,7.3,55,38,10.90277778,4.706
12.44986,45.64986,2/21/2004,2.53,5.76,35.4,95,39,10.49768519,0.932
12.44986,45.64986,2/22/2004,4.16,9.83,8.9,99,95,5.706018519,0.901
12.44986,45.64986,2/23/2004,3.53,10.31,10.9,99,83,4.675925926,0.938
12.44986,45.64986,2/24/2004,-0.33,4.53,4.1,97,60,5.775462963,2.338
12.44986,45.64986,2/25/2004,-3.77,5.14,0,84,45,3.252314815,10.915
12.44986,45.64986,2/26/2004,0.92,5.85,6.9,95,70,5.115740741,2.237
12.44986,45.64986,2/27/2004,-0.71,5.2,4.5,99,79,5,1.58
12.44986,45.64986,2/28/2004,-0.11,7.05,8.3,97,54,5.99537037,6.179
12.44986,45.64986,2/29/2004,-1.3,5.64,0,79,32,3.544444444,6.052
12.44986,45.64986,3/1/2004,-0.65,8.24,0,52,10,3.854166667,14.253
12.44986,45.64986,3/2/2004,-2.28,8.9,0,74,26,3.171296296,9.6
12.44986,45.64986,3/3/2004,-2.43,10.05,0,72,27,4.108796296,10.633
12.44986,45.64986,3/4/2004,-0.42,11.17,0,68,27,3.912037037,14.464
12.44986,45.64986,3/5/2004,0.59,8.28,0,55,35,4.282407407,10.887
12.44986,45.64986,3/6/2004,1.59,5.2,4.3,67,30,4.155092593,4.986
12.44986,45.64986,3/7/2004,0.13,5.61,18.9,96,71,5.115740741,2.904
12.44986,45.64986,3/8/2004,0.16,8.16,7.6,90,52,3.657407407,7.266
12.44986,45.64986,3/9/2004,1.6,12.14,0,95,47,2.5,12.213
12.44986,45.64986,3/10/2004,1.08,7.55,0,87,30,2.951388889,12.305
12.44986,45.64986,3/11/2004,2.03,7.46,7.6,58,32,7.650462963,6.365
12.44986,45.64986,3/12/2004,2.6,10.72,0,76,26,3.738425926,15.137
12.44986,45.64986,3/13/2004,4.07,11.02,0,82,50,2.696759259,11.01
12.44986,45.64986,3/14/2004,6.98,13.36,0,81,66,2.488425926,2.897
12.44986,45.64986,3/15/2004,6.11,15.14,0,88,53,2.916666667,14.422
12.44986,45.64986,3/16/2004,4.65,18.67,0,82,21,3.49537037,16.919
12.44986,45.64986,3/17/2004,5.66,20.43,0,81,25,3.75,16.581
12.44986,45.64986,3/18/2004,4.41,18.75,0,70,24,3.969907407,16.086
12.44986,45.64986,3/19/2004,5.66,17.46,0,86,32,3.530092593,14.302
12.44986,45.64986,3/20/2004,6.83,15.85,0,99,72,2.488425926,7.314
12.44986,45.64986,3/21/2004,9.94,15.68,0,99,87,2.581018519,1.536
12.44986,45.64986,3/22/2004,8.9,16.68,11.2,99,54,6.354166667,2.374
12.44986,45.64986,3/23/2004,5.49,11.03,4.1,88,62,5.173611111,3.519
12.44986,45.64986,3/24/2004,5.4,12.59,2.4,99,91,1.689814815,2.594
12.44986,45.64986,3/25/2004,3.93,14.22,2,99,62,1.93287037,9.465
12.44986,45.64986,3/26/2004,6.1,10.33,4.5,74,44,5.173611111,9.792
12.44986,45.64986,3/27/2004,2.79,12.4,0,63,24,2.974537037,20.182
12.44986,45.64986,3/28/2004,3.08,13.44,0,75,36,2.997685185,18.196
12.44986,45.64986,3/29/2004,1.42,15.41,0,67,23,4.849537037,19.907
12.44986,45.64986,3/30/2004,4.3,15.87,0,47,22,7.962962963,20.433
12.44986,45.64986,3/31/2004,6.68,15.69,0,68,21,4.1,18.908
12.44986,45.64986,4/1/2004,9.03,15.07,0,100,73,2.430555556,4.672
12.44986,45.64986,4/2/2004,8.44,19.38,0,89,46,3.634259259,14.631
12.44986,45.64986,4/3/2004,8.47,16.84,0,100,68,2.12962963,13.961
12.44986,45.64986,4/4/2004,9.91,15.46,0,100,70,1.840277778,10.185
12.44986,45.64986,4/5/2004,9.12,19.35,0,100,78,3.391203704,2.789
12.44986,45.64986,4/6/2004,8.71,15.67,10.9,97,70,7.766203704,3.572
12.44986,45.64986,4/7/2004,6.14,14.11,3.5,92,45,4.62962963,11.087
12.44986,45.64986,4/8/2004,2.18,14.49,0,88,32,4.733796296,22.119
12.44986,45.64986,4/9/2004,6.94,12.74,2.7,76,35,5.972222222,7.665
12.44986,45.64986,4/10/2004,5.88,15.86,0,76,49,5.543981481,12.429
12.44986,45.64986,4/11/2004,4.22,16.82,0,81,35,3.368055556,21.668
12.44986,45.64986,4/12/2004,8.56,15.13,7.2,70,23,4.270833333,8.418
12.44986,45.64986,4/13/2004,6.86,16.37,1.8,99,38,2.395833333,9.272
