species,class,parameter,min,max,value,calibration
grapevine,BBCHParameters,bbch05,0,2,2,
grapevine,BBCHParameters,bbch08,5,20,5,x
grapevine,BBCHParameters,bbch15,20,40,25,
grapevine,BBCHParameters,bbch55,41,75,60,
grapevine,BBCHParameters,bbch63,76,90,30,x
grapevine,BBCHParameters,bbch65,30,50,30,x
grapevine,BBCHParameters,bbch68,5,20,30,x
grapevine,BBCHParameters,bbch81,40,65,70,x
grapevine,BBCHParameters,bbch85,65,80,70,x
grapevine,BBCHParameters,bbch89,100,100,100,
grapevine,phenomenalsParameters,TminPhenology,0,12,5,
grapevine,phenomenalsParameters,ToptPhenology,18,22,20,
grapevine,phenomenalsParameters,TmaxPhenology,33,36,35,
grapevine,phenomenalsParameters,TminPhysiology,0,10,0,
grapevine,phenomenalsParameters,ToptPhysiology,20,28,25,
grapevine,phenomenalsParameters,TmaxPhysiology,30,40,35,
grapevine,phenomenalsParameters,chillThreshold,6,9,10,x
grapevine,phenomenalsParameters,chillingRequirement,80,280,100,x
grapevine,phenomenalsParameters,cycleLength,1500,3000,1300,x
grapevine,phenomenalsParameters,temperatureHeatCritical,36,42,40,
grapevine,phenomenalsParameters,temperatureColdCritical,-5,5,-2,
grapevine,phenomenalsParameters,kcInitial,0.1,0.3,0.2,
grapevine,phenomenalsParameters,kcFullCanopy,0.6,1,0.7,
grapevine,phenomenalsParameters,kcLateSeason,0.4,0.7,0.5,
grapevine,phenomenalsParameters,waterStressDays,5,25,10,
grapevine,phenomenalsParameters,lightSensitivity,1,3,.5,
grapevine,phenomenalsParameters,VPDsensitivity,.1,.5,.2,
grapevine,phenomenalsParameters,windSensitivity,3,10,5,
grapevine,phenomenalsParameters,TminDisease,1,12,1,
grapevine,phenomenalsParameters,ToptDisease,15,28,20,
grapevine,phenomenalsParameters,TmaxDisease,30,38,30,
grapevine,phenomenalsParameters,wetnessMin,2,8,2,
grapevine,phenomenalsParameters,wetnessMax,8,24,14,
