species,class,parameter,min,max,value,calibration
grapevine,BBCHParameters,bbch05,0,2,2,
grapevine,BBCHParameters,bbch08,2,30,5,x
grapevine,BBCHParameters,bbch15,20,40,35,
grapevine,BBCHParameters,bbch55,41,75,50,x
grapevine,BBCHParameters,bbch63,50,99,30,x
grapevine,BBCHParameters,bbch65,30,60,30,x
grapevine,BBCHParameters,bbch68,1,40,30,x
grapevine,BBCHParameters,bbch81,40,80,70,x
grapevine,BBCHParameters,bbch85,70,80,70,x
grapevine,BBCHParameters,bbch89,100,100,100,
grapevine,phenomenalsParameters,TminPhenology,0,12,5,
grapevine,phenomenalsParameters,ToptPhenology,18,22,20,
grapevine,phenomenalsParameters,TmaxPhenology,33,36,35,
grapevine,phenomenalsParameters,TminPhysiology,8,12,9.3,
grapevine,phenomenalsParameters,ToptPhysiology,25,28,26.7,
grapevine,phenomenalsParameters,TmaxPhysiology,31,35,33.2,
grapevine,phenomenalsParameters,chillThreshold,6,9,10,x
grapevine,phenomenalsParameters,chillingRequirement,80,300,100,x
grapevine,phenomenalsParameters,cycleLength,2000,2800,1300,x
grapevine,phenomenalsParameters,temperatureHeatCritical,36,42,39.2,
grapevine,phenomenalsParameters,temperatureColdCritical,-5,5,-2.1,
grapevine,phenomenalsParameters,kcInitial,0.1,0.3,0.2,
grapevine,phenomenalsParameters,kcFullCanopy,0.6,1,0.86,
grapevine,phenomenalsParameters,waterStressDays,5,25,15,
grapevine,phenomenalsParameters,lightSensitivity,1,3,5,
grapevine,phenomenalsParameters,lightMax,0.4,1.5,0.59,
grapevine,phenomenalsParameters,VPDsensitivity,2,8,5,
grapevine,phenomenalsParameters,VPDmin,0.5,2,1.04,
grapevine,phenomenalsParameters,VPDmax,2.5,5,3,
grapevine,phenomenalsParameters,windSensitivity,0.5,2,1,
grapevine,phenomenalsParameters,windMin,3,7,4.33,
grapevine,phenomenalsParameters,TminDisease,1,12,9.6,
grapevine,phenomenalsParameters,ToptDisease,15,28,21.2,
grapevine,phenomenalsParameters,TmaxDisease,30,38,31.1,
grapevine,phenomenalsParameters,wetnessMin,2,8,2,
grapevine,phenomenalsParameters,wetnessMax,8,24,13,
