Site,latitude,longitude,Variety,Year,Variable,Value
napa,38.3,122,CabernetS,1994,brix,23.2
napa,38.3,122,CabernetS,1995,brix,23.6
napa,38.3,122,CabernetS,1996,brix,23.7
napa,38.3,122,CabernetS,1997,brix,24.5
napa,38.3,122,CabernetS,1998,brix,24
napa,38.3,122,CabernetS,1999,brix,24.3
napa,38.3,122,CabernetS,2000,brix,23.9
napa,38.3,122,CabernetS,2001,brix,24.8
napa,38.3,122,CabernetS,2002,brix,25.4
napa,38.3,122,CabernetS,2003,brix,24.9
napa,38.3,122,CabernetS,2004,brix,25.8
napa,38.3,122,CabernetS,2005,brix,25.4
napa,38.3,122,CabernetS,2006,brix,25.6
napa,38.3,122,CabernetS,2007,brix,25.9
napa,38.3,122,CabernetS,2008,brix,25.7
napa,38.3,122,CabernetS,2009,brix,25.1
napa,38.3,122,CabernetS,2010,brix,24.5
napa,38.3,122,CabernetS,2011,brix,23.8
napa,38.3,122,CabernetS,2012,brix,25.1
napa,38.3,122,CabernetS,2013,brix,26.3
napa,38.3,122,CabernetS,2014,brix,26
napa,38.3,122,CabernetS,2015,brix,26.1
napa,38.3,122,CabernetS,2016,brix,25.9
napa,38.3,122,CabernetS,2017,brix,25.2
napa,38.3,122,CabernetS,2018,brix,25.3
napa,38.3,122,Merlot,1994,brix,23.2
napa,38.3,122,Merlot,1995,brix,23.3
napa,38.3,122,Merlot,1996,brix,23.2
napa,38.3,122,Merlot,1997,brix,24
napa,38.3,122,Merlot,1998,brix,23.1
napa,38.3,122,Merlot,1999,brix,24
napa,38.3,122,Merlot,2000,brix,24
napa,38.3,122,Merlot,2001,brix,20.2
napa,38.3,122,Merlot,2002,brix,24.8
napa,38.3,122,Merlot,2003,brix,24.6
napa,38.3,122,Merlot,2004,brix,24.9
napa,38.3,122,Merlot,2005,brix,24.4
napa,38.3,122,Merlot,2006,brix,24.8
napa,38.3,122,Merlot,2007,brix,24.7
napa,38.3,122,Merlot,2008,brix,24.9
napa,38.3,122,Merlot,2009,brix,24.6
napa,38.3,122,Merlot,2010,brix,24.4
napa,38.3,122,Merlot,2011,brix,23.8
napa,38.3,122,Merlot,2012,brix,24.6
napa,38.3,122,Merlot,2013,brix,25.1
napa,38.3,122,Merlot,2014,brix,25.2
napa,38.3,122,Merlot,2015,brix,25.2
napa,38.3,122,Merlot,2016,brix,25.2
napa,38.3,122,Merlot,2017,brix,25
napa,38.3,122,Merlot,2018,brix,25.2
napa,38.3,122,SauvignonB,1994,brix,22.4
napa,38.3,122,SauvignonB,1995,brix,22.4
napa,38.3,122,SauvignonB,1996,brix,22.5
