Site,DateTime,Tmax,Tmin,Precipitation,WindSpeed,RelativeHumidityMax,RelativeHumidityMin,Radiation,Latitude,Longitude
ColliOrientali,2004-01-01,10,3.88,0,4.606481481,78,53,4.954,45.64986,12.44986
ColliOrientali,2004-01-02,7.01,2.64,0,5.162037037,63,49,3.285,45.64986,12.44986
ColliOrientali,2004-01-03,5.55,-0.71,0,6.516203704,49,33,5.702,45.64986,12.44986
ColliOrientali,2004-01-04,3.65,-4.57,0,6.203703704,55,32,6.393,45.64986,12.44986
ColliOrientali,2004-01-05,3.37,-5.42,0,4.050925926,62,28,6.082,45.64986,12.44986
ColliOrientali,2004-01-06,3.21,-3.16,0,7.1875,60,39,5.486,45.64986,12.44986
ColliOrientali,2004-01-07,5.99,-0.47,0,3.611111111,77,34,3.068,45.64986,12.44986
ColliOrientali,2004-01-08,6.5,1.09,0,3.449074074,87,59,2.369,45.64986,12.44986
ColliOrientali,2004-01-09,6.06,1.79,1.7,1.840277778,99,90,0.983,45.64986,12.44986
ColliOrientali,2004-01-10,5.89,-1.41,0,2.418981481,99,73,5.549,45.64986,12.44986
ColliOrientali,2004-01-11,4.82,-2.38,0,3.611111111,87,39,6.138,45.64986,12.44986
ColliOrientali,2004-01-12,7.46,0.1,0,2.546296296,99,64,3.171,45.64986,12.44986
ColliOrientali,2004-01-13,7.87,0.21,0,2.222222222,99,81,1.764,45.64986,12.44986
ColliOrientali,2004-01-14,9.13,-0.17,0,2.118055556,98,70,4.678,45.64986,12.44986
ColliOrientali,2004-01-15,10.51,3.7,0,3.37962963,86,64,2.699,45.64986,12.44986
ColliOrientali,2004-01-16,7.32,-1.74,0,4.351851852,69,40,4.639,45.64986,12.44986
ColliOrientali,2004-01-17,6.95,1.46,7.4,4.247685185,99,74,0.317,45.64986,12.44986
ColliOrientali,2004-01-18,7.03,1.55,10.8,7.395833333,87,59,0.882,45.64986,12.44986
ColliOrientali,2004-01-19,10.05,2.97,0,4.340277778,76,39,5.672,45.64986,12.44986
ColliOrientali,2004-01-20,7.31,-0.66,0,3.37962963,84,61,3.697,45.64986,12.44986
ColliOrientali,2004-01-21,7.4,-0.9,0,4.0625,71,33,6.722,45.64986,12.44986
ColliOrientali,2004-01-22,5.38,-1.6,0,4.039351852,68,24,7.536,45.64986,12.44986
ColliOrientali,2004-01-23,2.36,-1.5,0,5.092592593,61,30,6.93,45.64986,12.44986
ColliOrientali,2004-01-24,4.34,-5.77,0,3.449074074,66,29,7.961,45.64986,12.44986
ColliOrientali,2004-01-25,3.05,-2.6,0,2.083333333,78,39,4.128,45.64986,12.44986
ColliOrientali,2004-01-26,2.94,-4.31,1.1,3.06712963,88,61,2.559,45.64986,12.44986
ColliOrientali,2004-01-27,5.97,-1.3,3.3,2.118055556,99,73,3.345,45.64986,12.44986
ColliOrientali,2004-01-28,8.41,-1.13,0,3.368055556,99,49,6.04,45.64986,12.44986
ColliOrientali,2004-01-29,5.98,-2.91,0,3.4375,79,57,4.805,45.64986,12.44986
ColliOrientali,2004-01-30,7.76,-3.99,0,4.247685185,57,10,9.065,45.64986,12.44986
ColliOrientali,2004-01-31,7.05,-1.99,0,3.466666667,70,33,7.77,45.64986,12.44986
ColliOrientali,2004-02-01,8.32,0.69,0,2.12962963,89,53,2.881,45.64986,12.44986
ColliOrientali,2004-02-02,9.06,-1.63,0,2.118055556,95,68,4.434,45.64986,12.44986
ColliOrientali,2004-02-03,9.53,0.65,0,2.395833333,97,63,6.151,45.64986,12.44986
ColliOrientali,2004-02-04,10.04,0.53,0,1.666666667,99,60,6.32,45.64986,12.44986
ColliOrientali,2004-02-05,7.34,-1.99,0,1.921296296,99,66,9.185,45.64986,12.44986
ColliOrientali,2004-02-06,6.69,-0.49,0,1.493055556,99,78,8.334,45.64986,12.44986
ColliOrientali,2004-02-07,7.56,1.1,0,1.921296296,99,96,0.401,45.64986,12.44986
ColliOrientali,2004-02-08,8.39,3.13,0,2.87037037,99,93,1.658,45.64986,12.44986
ColliOrientali,2004-02-09,11.75,-2.62,0,4.247685185,98,10,10.426,45.64986,12.44986
ColliOrientali,2004-02-10,10.49,-1.39,0,3.599537037,62,10,10.12,45.64986,12.44986
ColliOrientali,2004-02-11,10.55,0.49,0,2.974537037,84,50,8.612,45.64986,12.44986
ColliOrientali,2004-02-12,5.78,-0.49,0,4.722222222,56,39,3.767,45.64986,12.44986
ColliOrientali,2004-02-13,5.06,-0.45,0,1.469907407,79,47,2.332,45.64986,12.44986
ColliOrientali,2004-02-14,7.74,-1.61,0,3.06712963,84,40,8.384,45.64986,12.44986
ColliOrientali,2004-02-15,8.79,-1.3,0,2.962962963,82,37,10.081,45.64986,12.44986
