site,latitude,longitude,variety,Date,ChillState,AntiChillState,ForcingState,DormancyCompletion,CycleCompletion,BBCHCode,BBCHPhase,BBCHRef
ColliOrientali,44,11,Merlot,1/1/2015 12:00:00 AM,-1.2902479,0,0,0.5371084,0,0,0,
ColliOrientali,44,11,Merlot,1/2/2015 12:00:00 AM,-3.51643,0,0,1.4638304,0,0,0,
ColliOrientali,44,11,Merlot,1/3/2015 12:00:00 AM,-7.22652,0,0,3.0082784,0,0,0,
ColliOrientali,44,11,Merlot,1/4/2015 12:00:00 AM,-13.210442,0,0,5.499284,0,0,0,
ColliOrientali,44,11,Merlot,1/5/2015 12:00:00 AM,-17.313835,0,0,7.207457,0,0,0,
ColliOrientali,44,11,Merlot,1/6/2015 12:00:00 AM,-19.556711,0,0,8.141129,0,0,0,
ColliOrientali,44,11,Merlot,1/7/2015 12:00:00 AM,-22.172947,0,0,9.230224,0,0,0,
ColliOrientali,44,11,Merlot,1/8/2015 12:00:00 AM,-26.155668,0,0,10.888163,0,0,0,
ColliOrientali,44,11,Merlot,1/9/2015 12:00:00 AM,-31.00512,0,0,12.906907,0,0,0,
ColliOrientali,44,11,Merlot,1/10/2015 12:00:00 AM,-34.908447,0,0,14.531797,0,0,0,
ColliOrientali,44,11,Merlot,1/11/2015 12:00:00 AM,-39.74688,0,0,16.545954,0,0,0,
ColliOrientali,44,11,Merlot,1/12/2015 12:00:00 AM,-45.951035,0,0,19.12864,0,0,0,
ColliOrientali,44,11,Merlot,1/13/2015 12:00:00 AM,-50.068657,0,0,20.842737,0,0,0,
ColliOrientali,44,11,Merlot,1/14/2015 12:00:00 AM,-54.125603,0,0,22.531574,0,0,0,
ColliOrientali,44,11,Merlot,1/15/2015 12:00:00 AM,-57.732555,0,0,24.033087,0,0,0,
ColliOrientali,44,11,Merlot,1/16/2015 12:00:00 AM,-61.243095,0,0,25.494465,0,0,0,
ColliOrientali,44,11,Merlot,1/17/2015 12:00:00 AM,-62.761963,0,0,26.126745,0,0,0,
ColliOrientali,44,11,Merlot,1/18/2015 12:00:00 AM,-67.18471,0,0,27.967857,0,0,0,
ColliOrientali,44,11,Merlot,1/19/2015 12:00:00 AM,-70.451256,0,0,29.327667,0,0,0,
ColliOrientali,44,11,Merlot,1/20/2015 12:00:00 AM,-73.56756,0,0,30.624931,0,0,0,
ColliOrientali,44,11,Merlot,1/21/2015 12:00:00 AM,-76.10507,0,0,31.681257,0,0,0,
ColliOrientali,44,11,Merlot,1/22/2015 12:00:00 AM,-77.47071,0,0,32.24975,0,0,0,
ColliOrientali,44,11,Merlot,1/23/2015 12:00:00 AM,-80.3118,0,0,33.432446,0,0,0,
ColliOrientali,44,11,Merlot,1/24/2015 12:00:00 AM,-82.88667,0,0,34.504322,0,0,0,
ColliOrientali,44,11,Merlot,1/25/2015 12:00:00 AM,-86.29002,0,0,35.921078,0,0,0,
ColliOrientali,44,11,Merlot,1/26/2015 12:00:00 AM,-91.18622,0,0,37.959282,0,0,0,
ColliOrientali,44,11,Merlot,1/27/2015 12:00:00 AM,-93.767876,0,0,39.03398,0,0,0,
ColliOrientali,44,11,Merlot,1/28/2015 12:00:00 AM,-97.17264,0,0,40.45133,0,0,0,
ColliOrientali,44,11,Merlot,1/29/2015 12:00:00 AM,-98.91794,0,0,41.177864,0,0,0,
ColliOrientali,44,11,Merlot,1/30/2015 12:00:00 AM,-101.63561,0,0,42.30919,0,0,0,
ColliOrientali,44,11,Merlot,1/31/2015 12:00:00 AM,-104.88863,0,0,43.66337,0,0,0,
ColliOrientali,44,11,Merlot,2/1/2015 12:00:00 AM,-109.72679,0,0,45.67741,0,0,0,
ColliOrientali,44,11,Merlot,2/2/2015 12:00:00 AM,-113.27568,0,0,47.154755,0,0,0,
ColliOrientali,44,11,Merlot,2/3/2015 12:00:00 AM,-117.16159,0,0,48.772392,0,0,0,
ColliOrientali,44,11,Merlot,2/4/2015 12:00:00 AM,-120.44596,0,0,50.139618,0,0,0,
ColliOrientali,44,11,Merlot,2/5/2015 12:00:00 AM,-120.44596,0,0,49.860382,0,0,0,
ColliOrientali,44,11,Merlot,2/6/2015 12:00:00 AM,-120.36612,0.079843,0,49.893616,0,0,0,
ColliOrientali,44,11,Merlot,2/7/2015 12:00:00 AM,-120.2407,0.12542176,0,49.945824,0,0,0,
ColliOrientali,44,11,Merlot,2/8/2015 12:00:00 AM,-120.095665,0.14503784,0,50.006203,0,0,0,
ColliOrientali,44,11,Merlot,2/9/2015 12:00:00 AM,-119.66154,0.4341289,0,50.186924,0,0,0,
