site,latitude,longitude,variety,Date,Tmax,Tmin,RHmax,RHmin,Rad,Prec,ET0,VPD,Wind,LW,ChillState,AntiChillState,ForcingState,DormancyCompletion,CycleCompletion,BBCHCode,BBCHPhase,BBCHRef,TempF,HeatF,ColdF,LightF,AridityF,VPDefF,WindF,DiseaseF,TempFsum,HeatFsum,ColdFsum,LightFsum,AridityFsum,VPDefFsum,WindFsum,DiseaseFsum
ColliOrientali,45.64986,12.44986,Carmenere,01/01/2005,11.65,-0.8800001,54,14,6.46,0,2.4494653,0.58822984,4.4560184,0,-6.546424,0,0,2.2429035,0,0,0,,0.0021049026,1,0.5998444,0.31681502,0,1,0.88159853,0,8.770428E-05,0.041666668,0.024993518,0.013200627,0,0.041666668,0.03673328,0
ColliOrientali,45.64986,12.44986,Carmenere,01/02/2005,8.38,-0.71000004,79,47,5.318,0,1.1270924,0.28949064,3.3449075,0,-10.640917,0,0,3.6457386,0,0,0,,0,1,0.5184363,0.30496174,0,1,1,0,0.0021049026,1.0416667,0.62144595,0.32952178,0,1.0416667,0.9232654,0
ColliOrientali,45.64986,12.44986,Carmenere,01/03/2005,10.87,-0.4499998,69,32,6.323,0,1.6998827,0.43012443,3.8773148,0,-16.771341,0,0,5.7461143,0,0,0,,0.0006344856,1,0.6008103,0.31675395,0,1,1,0,0.0021313396,2.0416667,1.1433146,0.63497484,0,2.0416667,1.9232655,0
ColliOrientali,45.64986,12.44986,Carmenere,01/04/2005,8.72,-1.0500002,82,66,2.192,0,0.41182172,0.20658295,4.4097223,0,-20.955748,0,0,7.179755,0,0,0,65,0,1,0.51701,0.22090168,0,1,0.9233726,0,0.0027393883,3.0416667,1.740633,0.947735,0,3.0416667,2.9200726,0
ColliOrientali,45.64986,12.44986,Carmenere,01/05/2005,9.92,-1.9700003,86,66,4.449,0,0.73509157,0.19021684,3.6111112,0,-25.636728,0,0,8.783529,0,0,0,,3.3698194E-05,1,0.5222826,0.29308978,0,1,1,0,0.0027407925,4.041667,2.2578628,1.1716444,0,4.041667,3.846638,0
ColliOrientali,45.64986,12.44986,Carmenere,01/06/2005,9.94,-1.7699995,92,74,4.572,0,0.6696164,0.1334389,3.3796296,5,-30.412775,0,0,10.419875,0,0,0,,3.757076E-05,1,0.529157,0.29590034,0,1,1,0,0.0027746519,5.0416665,2.7804317,1.4648513,0,5.0416665,4.8466377,0
ColliOrientali,45.64986,12.44986,Carmenere,01/07/2005,9.01,-1.8099997,97,57,6.198,0,0.9963958,0.1661095,3.5069444,7,-34.496735,0,0,11.819101,0,0,0,,0,1,0.49999896,0.31826013,0,1,1,0,0.0028106573,6.0416665,3.3083737,1.7616832,0,6.0416665,5.8466377,0
ColliOrientali,45.64986,12.44986,Carmenere,01/08/2005,5.26,-2.05,100,77,1.632,0,0.22812843,0.07272402,1.8171296,11,-36.389183,0,0,12.467483,0,0,0,,0,1,0.30016878,0.18785366,0,1,1,0,0.0028106573,7.0416665,3.8000464,2.0745099,0,7.0416665,6.8466377,0
ColliOrientali,45.64986,12.44986,Carmenere,01/09/2005,8.23,1.1700001,100,90,0.658,0,0.06010198,0.03953707,1.3425926,23,-39.662796,0,0,13.589072,0,0,0,,0,1,0.6131216,0.096965834,0,1,1,0,0.0028106573,8.041667,4.113255,2.2585764,0,8.041667,7.846638,0
ColliOrientali,45.64986,12.44986,Carmenere,01/10/2005,9.58,0.3699999,98,71,6.095,0,0.8609601,0.12457915,2.0717592,9,-43.693424,0,0,14.970025,0,0,0,,2.9297253E-06,1,0.60844696,0.31942615,0,1,1,0,0.0028107795,9.041667,4.726182,2.3648114,0,9.041667,8.846639,0
ColliOrientali,45.64986,12.44986,Carmenere,01/11/2005,9.29,-2.1899998,93,70,2.051,0,0.32626274,0.1378985,3.6226852,5,-47.834606,0,0,16.388857,0,0,0,,0,1,0.49672785,0.215366,0,1,1,0,0.002813587,10.041666,5.329974,2.6799016,0,10.041666,9.846639,0
ColliOrientali,45.64986,12.44986,Carmenere,01/12/2005,8.53,-0.029999733,94,60,6.689,0,1.0335373,0.17910315,3.6574075,5,-52.368057,0,0,17.942085,0,0,0,,0,1,0.5546113,0.32667512,0,1,1,0,0.002813587,11.041667,5.829114,2.8999052,0,11.041667,10.846638,0
ColliOrientali,45.64986,12.44986,Carmenere,01/13/2005,6.51,-2.12,93,57,5.189,0,0.87222815,0.16850078,3.101852,5,-54.825386,0,0,18.784002,0,0,0,,0,1,0.38149893,0.31047875,0,1,1,0,0.002813587,12.041667,6.376512,3.225906,0,12.041667,11.846639,0
ColliOrientali,45.64986,12.44986,Carmenere,01/14/2005,3.9499998,-2.9199998,73,31,6.743,0,1.7137702,0.29675198,3.4375,0,-55.960938,0,0,19.17306,0,0,0,,0,1,0.17902513,0.32872367,0,1,1,0,0.002813587,13.041667,6.749574,3.5371447,0,13.041667,12.846639,0
ColliOrientali,45.64986,12.44986,Carmenere,01/15/2005,3.92,-3.89,72,45,6.597,0,1.4669268,0.24994932,3.7152777,0,-56.944702,0,0,19.510113,0,0,0,,0,1,0.16350232,0.328206,0,1,1,0,0.002813587,14.041666,6.927953,3.8658466,0,14.041666,13.846639,0
ColliOrientali,45.64986,12.44986,Carmenere,01/16/2005,6.8099995,-4.3399997,65,27,7.274,0,2.038544,0.35532922,4.016204,0,-59.034794,0,0,20.22621,0,0,0,,0,1,0.3465197,0.33459178,0,1,1,0,0.002813587,15.041667,7.0990806,4.194319,0,15.041667,14.846638,0
ColliOrientali,45.64986,12.44986,Carmenere,01/17/2005,6.8100004,-4.38,58,10,7.769,0,2.6831906,0.43295008,5.486111,0,-61.117416,0,0,20.939749,0,0,0,,0,1,0.34579536,0.3388467,0,1,0.31470764,0,0.002813587,16.041668,7.4455705,4.529088,0,16.041668,15.818085,0
ColliOrientali,45.64986,12.44986,Carmenere,01/18/2005,2.56,-4.13,96,39,3.158,9.8,0.85709023,0.17563112,3.75,24,-61.607224,0,0,21.107563,0,0,0,,0,1,0.07729978,0.26764023,0.7027807,1,1,0,0.002813587,17.041666,7.7801785,4.8649673,0.02928253,17.041666,16.161345,0
ColliOrientali,45.64986,12.44986,Carmenere,01/19/2005,8.44,-0.97000027,98,40,2.875,2,0.7279119,0.22606672,4.7800927,24,-65.62938,0,0,22.485615,0,0,0,,0,1,0.5101882,0.25771517,0.87729937,1,0.637569,0,0.002813587,18.041666,7.875515,5.132194,0.7393349,18.041666,17.146244,0
